Contour plots | Multivariable calculus | Khan Academy	"What that's going to look like. So what we do is we say, ""Where do these slices cut into the graph?"" So I'm going to draw on all of the points where those slices cut into the graph and these are called contour lines."	https://www.youtube.com/watch?v=WsZj5Rb6do8#t=118.33s
Multivariable functions | Multivariable calculus | Khan Academy	These are called parametric surfaces. Another fun one is a vector field, where every input point is associated with some kind of vector, which is the output of the function there. So this would be a function with a two-dimensional input and a two-dimensional output 'cause each of these are two-dimensional vectors.	https://www.youtube.com/watch?v=TrcCbdWwCBc#t=268.264s
Constrained optimization introduction	But that's not all you're asked to do, you're subject to a certain constraint where you're only allowed values of x and y on a certain set, and I'm just going to say, the set of all values of x and y, such that, x squared plus y squared, equals one.	https://www.youtube.com/watch?v=vwUV2IDLP8Q#t=26.633s
Constrained optimization introduction	And what we're basically trying to do is find the maximum value that we can put here, the maximum value so that if we look at the line that represents f of x,y equals that value, it still intersects with the circle.	https://www.youtube.com/watch?v=vwUV2IDLP8Q#t=338.46s
Quadratic approximation formula, part 1	- [Voiceover] So, our setup is that we have some kind of two variable function f of x, y, who has a scaler output, and the goal is to approximate it near a specific input point, and this is something I've already talked about in context of a local linearization, and I've written out the full local, the full local linearization, hard words to say, local linearization in its most abstract and general form, and it looks like quite the beast, but once you actually break it apart, which I'll do in a moment, it's, it's not actually that bad.	https://www.youtube.com/watch?v=UV5yj5A3QIM#t=0.0s
Quadratic approximation formula, part 1	Over here, this entire thing looks like a constant multiplied by x minus something, and if you differentiate this with respect to x, what you're gonna get is that constant term, which is the partial derivative of f evaluated at our, our specific point.	https://www.youtube.com/watch?v=UV5yj5A3QIM#t=196.524s
Multivariable chain rule and directional derivatives	So here, just to be clear, you'd be thinking of whatever vector to your input point, that's p. But then the nudge, the nudge away from that input point is w. And you take the dot product between that and the vector itself, the vector that represents your nudge direction.	https://www.youtube.com/watch?v=m2mW2FQJgEE#t=175.836s
2d curl nuance	- [Voiceover] In the last couple videos I've been talking about curl where if we have a two dimensional vector field V defined with component functions P and Q, I've said that the 2D curl of that function V gives you a new function that also takes in x and y's inputs and it's formula is the partial derivative of Q with respect to x minus the partial derivative of P with respect to y.	https://www.youtube.com/watch?v=szLkF7isbI0#t=0.764s
Curvature formula, part 3	And then the second way you're thinking of this dt/ds, the change in the unit tangent vector with respect to arc length and taking its magnitude. And of course all of these are the same, they're just kind of three different ways to think about it or things that you might plug in when you come across a function.	https://www.youtube.com/watch?v=8V4_4M90RfA#t=492.567s
Type II regions in three dimensions | Divergence theorem | Multivariable Calculus | Khan Academy	Let's now think about Type 2 regions. And you'll see that they're kind of very similar definitions and it's really a question of orientation. Type 2 region is a region-- I'll call it R2-- that's the set of all x, y's, and z's in three dimensions such that-- and now instead of thinking of our domain in terms of xy-coordinates, we're going to think of them in terms of yz coordinates, such that our yz pairs are a member of some domain.	https://www.youtube.com/watch?v=pZ_2bATPi2I#t=0.53s
Type I regions in three dimensions | Divergence theorem | Multivariable Calculus | Khan Academy	But then I'll draw a couple of type 1 regions, and then I'll show you what would not be a type 1 region because sometimes that's the more important question. So type 1 region, maybe a type one region R, is the set-- and these little curly brackets means set-- is the set of all x, y's, and z's.	https://www.youtube.com/watch?v=A11AfJ2-3rE#t=27.91s
Line integrals and vector fields | Multivariable Calculus | Khan Academy	Displacement is just distance with some direction. Times the magnitude of the displacement, or you could say, times the distance displaced. And the classic example. Maybe you have an ice cube, or some type of block.	https://www.youtube.com/watch?v=t3cJYNdQLYg#t=41.74s
Multivariable chain rule	And it's actually kind of surprising when you see it in this context, because it pops out in a way that you might not expect things to pop out. So, continuing our chugging along, when you take the derivative of this, you do the product rule, left d right, plus right d left, so in this case, the left is cosine squared of t, we just leave that as it is, cosine squared of t, and multiply it by the derivative of the right, d right, so that's going to be cosine of t, cosine of t, and then we add to that right, which is, keep that right side unchanged, multiply it by the derivative of the left, and for that we use the chain rule, the single variable chain rule, where you think of taking the derivative of the outside, so you plug two down, like you're taking the derivative of two x, but you're just writing in cosine, instead of x.	https://www.youtube.com/watch?v=NO3AqAaAE6o#t=181.77s
Multivariable chain rule	So this is the derivative, this is the derivative of the composition of functions that ultimately was a single variable function, but it kind of wind through two different variables. And I just want to make an observation in terms of the partial derivatives of f.	https://www.youtube.com/watch?v=NO3AqAaAE6o#t=295.555s
Divergence theorem proof (part 2) | Divergence theorem | Multivariable Calculus | Khan Academy	And then I'll leave it up to you to do the exact same argument with a Type 2 and a Type 3 region. So let's get going. So Type 1 region, just to remind ourselves, a Type 1 region is a region that is equal to the set of all x, y's and z's such that the xy pairs are a member of a domain in the xy plane, and z is bounded by two functions.	https://www.youtube.com/watch?v=OM3e-J3euXo#t=66.777s
Scalar field line integral independent of path direction | Multivariable Calculus | Khan Academy	Let's let, let me get a nice substitution color, let's let u equal to a plus b minus t. So first we're going to have to figure out the boundaries of our integral, well actually, let's just figure out, what's du? so du dt, the derivative of u with respect to t is just going to be equal to minus 1, or we could say that du, if we multiply both sides by the differential dt, is equal to minus dt.	https://www.youtube.com/watch?v=99pD1-6ZpuM#t=661.04s
Quadratic approximation formula, part 2	Like for example, let's say we took the partial derivative first with respect to X, and then with respect to Y. This is called the mixed partial derivative. We want it to be the case that when we evaluate that at the point of interest it's the same as taking the mixed partial derivative of f with respect to X, and then with respect to Y, and we evaluate it at that same point.	https://www.youtube.com/watch?v=szHMvVXxp-g#t=105.87s
Introduction to 3d graphs | Multivariable calculus | Khan Academy	- [Voiceover] Hello everyone. So what I'd like to do here is to describe how we think about three-dimensional graphs. Three-dimensional graphs are a way that we represent certain kind of multi-variable function that kind of has two inputs, or rather a two-dimensional input, and then one-dimensional of output of some kind.	https://www.youtube.com/watch?v=2DRmfxkH_VI#t=0.526s
Second partial derivative test intuition	And if this value H turns out to be less than zero, strictly less than zero, then you definitely have a saddle point, saddle point. Which is neither a maximum, nor a minimum.	https://www.youtube.com/watch?v=sJo7D74PAak#t=117.257s
3d curl formula, part 2	So let me show you what I mean by that. If you're computing the determinant, of the guy that we have pictured there in the upper-right, you start by taking this upper-left component, and then multiplying it by the determinant of the sub-matrix, the sub-matrix whose rows are not the row of I and whose columns are not the row of I.	https://www.youtube.com/watch?v=0k4tWeI3R0Y#t=18.663s
3d curl formula, part 2	So here we have our vector function, vector-valued function V whose components are P, Q, and R, and when you go through this whole process of imagining the cross-product between the Del operator, this Nabla symbol, and the vector output P, Q, and R, what you get is this whole expression, and, you know, here we're writing with I, J, K notation, if you're writing it as a column vector, I guess I didn't erase some of these guys, but if you're writing this as a column vector, it would look like saying the curl of your vector valued function V as a function of X, Y, and Z is equal to, and then what I'd put in for this first component would be what's up there, so that would be your partial with respect to Y of R minus partial of Q with respect to Z, so partial of Q with respect to Z, and I won't copy it down for all of the other ones but in principle, you know, you'd kind of, whatever this J component is, and I guess we're subtracting it so you'd subtract there, you'd copy that as the next component and then over here.	https://www.youtube.com/watch?v=0k4tWeI3R0Y#t=164.948s
Double integral 1 | Double and triple integrals | Multivariable Calculus | Khan Academy	So you can kind of view it as the domain. Right? The domain is all of the set of valid things that you can input into a function. So now, before, our domain was just-- at least, you know, for most of what we dealt with-- was just the x-axis, or kind of the real number line in the x direction.	https://www.youtube.com/watch?v=85zGYB-34jQ#t=162.81s
Gradient	And I'm just gonna make it a two-variable function. And let's say it's f of x, y, equals x-squared sine of y. The gradient is a way of packing together all the partial derivative information of a function.	https://www.youtube.com/watch?v=tIpKfDc295M#t=32.164s
Gradient	This is a function that takes in a point in two-dimensional space and outputs a two-dimensional vector. So you could also imagine doing this with three different variables. Then you would have three partial derivatives, and a three-dimensional output.	https://www.youtube.com/watch?v=tIpKfDc295M#t=152.047s
Line integral example 1 | Line integrals and Green's theorem | Multivariable Calculus | Khan Academy	And those small change in arc lengths, we called them ds, and then the height is just f of xy at that point. And we'll take an infinite sum of these, from t is equal to 0 to t will equal pi over 2, and then that should give us the area of this wall.	https://www.youtube.com/watch?v=uXjQ8yc9Pdg#t=305.3s
3d vector fields, introduction | Multivariable calculus | Khan Academy	- [Voiceover] So in the last video, I talked about vector fields in the context of two dimensions, and here, I'd like to do the same but for three-dimensions. So a three-dimensional vector field is given by a function, a certain multi-variable function that has a three-dimensional input given with coordinates x, y and z, and then a three-dimensional vector output that has expressions that are somehow dependent on x, y, and z, I'll just put dots in here for now, but we'll fill this in with an example in just a moment.	https://www.youtube.com/watch?v=Go3UvzbsSGo#t=0.445s
